	ID	Year_Birth	Education	Marital_Status	Income	Kidhome	Teenhome	MntWines	MntFruits
0	5524	1957	Graduation	Single	58138.0	0	0	635	88
1	2174	1954	Graduation	Single	46344.0	1	1	11	1
2	4141	1965	Graduation	Together	71613.0	0	0	426	49
3	6182	1984	Graduation	Together	26646.0	1	0	11	4
4	5324	1981	PhD	Married	58293.0	1	0	173	43
5	7446	1967	Master	Together	62513.0	0	1	520	42
6	965	1971	Graduation	Divorced	55635.0	0	1	235	65
7	6177	1985	PhD	Married	33454.0	1	0	76	10
8	4855	1974	PhD	Together	30351.0	1	0	14	0
9	5899	1950	PhD	Together	5648.0	1	1	28	0
10	1994	1983	Graduation	Married		1	0	5	5
11	387	1976	Basic	Married	7500.0	0	0	6	16
12	2125	1959	Graduation	Divorced	63033.0	0	0	194	61
13	8180	1952	Master	Divorced	59354.0	1	1	233	2
14	2569	1987	Graduation	Married	17323.0	0	0	3	14
15	2114	1946	PhD	Single	82800.0	0	0	1006	22
16	9736	1980	Graduation	Married	41850.0	1	1	53	5
17	4939	1946	Graduation	Together	37760.0	0	0	84	5
18	6565	1949	Master	Married	76995.0	0	1	1012	80
19	2278	1985	2n Cycle	Single	33812.0	1	0	4	17
20	9360	1982	Graduation	Married	37040.0	0	0	86	2
21	5376	1979	Graduation	Married	2447.0	1	0	1	1
22	1993	1949	PhD	Married	58607.0	0	1	867	0
23	4047	1954	PhD	Married	65324.0	0	1	384	0
24	1409	1951	Graduation	Together	40689.0	0	1	270	3
25	7892	1969	Graduation	Single	18589.0	0	0	6	4
26	2404	1976	Graduation	Married	53359.0	1	1	173	4
27	5255	1986	Graduation	Single		1	0	5	1
28	9422	1989	Graduation	Married	38360.0	1	0	36	2
29	1966	1965	PhD	Married	84618.0	0	0	684	100
30	6864	1989	Master	Divorced	10979.0	0	0	8	4
31	3033	1963	Master	Together	38620.0	0	0	112	17
32	5710	1970	Graduation	Together	40548.0	0	1	110	0
33	7373	1952	PhD	Divorced	46610.0	0	2	96	12
34	8755	1946	Master	Married	68657.0	0	0	482	34
35	10738	1951	Master	Single	49389.0	1	1	40	0
36	4339	1970	PhD	Married	67353.0	0	1	702	17
37	10755	1976	2n Cycle	Married	23718.0	1	0	6	3
38	8595	1973	Graduation	Widow	42429.0	0	1	55	0
39	2968	1943	PhD	Divorced	48948.0	0	0	437	8
40	8601	1980	Graduation	Married	80011.0	0	1	421	76
41	503	1985	Master	Married	20559.0	1	0	13	1
42	8430	1957	Graduation	Together	21994.0	0	1	9	0
43	7281	1959	PhD	Single		0	0	81	11
44	2139	1975	Master	Married	7500.0	1	0	3	1
45	1371	1976	Graduation	Single	79941.0	0	0	123	164
46	9909	1996	2n Cycle	Married	7500.0	0	0	3	18
47	7286	1968	Graduation	Together	41728.0	1	0	13	6
48	7244	1951	Graduation	Single		2	1	48	5
49	6566	1954	PhD	Married	72550.0	1	1	826	50
50	8614	1957	Graduation	Widow	65486.0	0	1	245	19
